                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.92116,                 1.6288,                0.68717,                0.94917,                0.88921,                0.74192,                0.80383,                0.55451,                0.85835,                0.73352,                0.79752,                0.45489,                0.89978,                 1.5757,                0.59871,                0.93782,             0.00053844,             0.00053844,             0.00053844
                     25,                 0.9303,                 1.6297,                0.69019,                0.95109,                0.86869,                0.72829,                0.78783,                0.53584,                0.83956,                0.70394,                0.76973,                0.42505,                0.90982,                 1.5385,                 0.6226,                0.93266,              0.0005075,              0.0005075,              0.0005075
                     26,                0.89577,                 1.5928,                0.64939,                0.93908,                0.86686,                0.74029,                0.79757,                0.55818,                 0.8439,                0.72489,                0.78226,                0.45257,                0.86416,                 1.5229,                 0.5927,                0.92358,             0.00047656,             0.00047656,             0.00047656
                     27,                0.88141,                 1.5721,                0.64631,                0.93694,                0.89316,                0.75165,                0.80066,                 0.5671,                0.85866,                0.72842,                0.77902,                 0.4547,                0.88587,                 1.5351,                0.58912,                0.92643,             0.00044563,             0.00044563,             0.00044563
                     28,                0.87387,                 1.5505,                0.63404,                0.93382,                0.88966,                0.72345,                0.79786,                0.55492,                0.86054,                0.70816,                0.78583,                0.44815,                0.87725,                 1.5353,                0.58665,                0.92187,             0.00041469,             0.00041469,             0.00041469
                     29,                0.88224,                 1.5713,                0.64598,                0.93455,                0.88702,                0.76031,                0.80102,                0.55849,                0.84312,                0.73503,                 0.7908,                0.45257,                0.85994,                 1.5274,                0.56938,                 0.9192,             0.00038375,             0.00038375,             0.00038375
                     30,                0.86779,                 1.5289,                0.61187,                0.93004,                0.81623,                0.77673,                0.80258,                0.56536,                0.86811,                0.69973,                0.76895,                0.44412,                0.85596,                 1.4923,                0.57933,                0.91532,             0.00035281,             0.00035281,             0.00035281
                     31,                0.84668,                 1.5107,                0.56343,                0.92715,                0.84329,                0.77443,                0.79342,                0.55362,                0.78669,                0.74685,                 0.7673,                0.44535,                0.87168,                 1.4781,                0.56629,                0.91992,             0.00032188,             0.00032188,             0.00032188
                     32,                 0.8423,                 1.4769,                0.55156,                0.92224,                0.83811,                 0.7776,                0.80865,                0.56226,                0.88451,                 0.7114,                 0.7863,                0.44666,                0.85333,                 1.5129,                 0.5594,                0.91824,             0.00029094,             0.00029094,             0.00029094
                     33,                0.83293,                 1.4781,                0.54377,                 0.9192,                0.87302,                0.76303,                0.80531,                0.56943,                 0.8092,                0.73554,                0.77633,                0.45714,                0.84814,                 1.5024,                0.55802,                0.91563,                0.00026,                0.00026,                0.00026
                     34,                0.82165,                 1.4694,                0.52897,                0.91326,                0.89861,                0.74924,                 0.8068,                0.57347,                0.87499,                0.72787,                0.78666,                0.46525,                0.83418,                 1.4988,                0.53891,                0.91356,             0.00022906,             0.00022906,             0.00022906
                     35,                0.80233,                 1.4398,                0.51805,                0.90536,                0.87847,                0.76507,                0.80762,                0.57284,                0.82584,                0.73348,                0.77322,                0.45573,                0.84021,                 1.4886,                0.53928,                0.91439,             0.00019813,             0.00019813,             0.00019813
                     36,                0.78849,                 1.4262,                0.50753,                0.89935,                0.87689,                0.75219,                0.80712,                 0.5814,                0.84595,                0.73089,                0.78257,                0.46848,                0.82303,                 1.4831,                0.54026,                 0.9076,             0.00016719,             0.00016719,             0.00016719
                     37,                0.78034,                 1.4146,                0.49749,                0.89858,                0.87956,                0.76512,                0.80011,                0.57112,                0.83147,                0.74794,                0.77807,                0.46317,                0.82287,                 1.4641,                0.53648,                0.91081,             0.00013625,             0.00013625,             0.00013625
                     38,                0.78334,                 1.4271,                 0.4951,                0.89562,                0.91315,                0.75233,                0.81029,                0.58152,                0.85559,                0.73051,                0.78296,                0.46439,                0.81468,                 1.4597,                0.52776,                0.91003,             0.00010531,             0.00010531,             0.00010531
                     39,                 0.7765,                 1.3962,                0.49144,                0.89579,                0.86945,                0.77504,                0.80852,                0.58102,                0.85987,                0.73961,                 0.7837,                0.46412,                0.81252,                 1.4601,                0.53015,                0.91045,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     40,                0.76381,                 1.3928,                0.48286,                0.89236,                0.90705,                0.76421,                0.80592,                0.58616,                0.85882,                0.73963,                0.78754,                0.47422,                0.81116,                 1.4531,                0.52251,                0.90953,             4.3438e-05,             4.3438e-05,             4.3438e-05
